,Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,Year,Code_x,% people with anxiety,Code_y,% people with depression,Code_x,Deaths per 100k ind,Code_y,% of alcoholic people
49,Ireland,6.94,1.36948,0.6177699999999999,0.45901,0.28703,1.33596,0.89533,2015,IRL,5.834180257230001,IRL,4.28658096651,IRL,8.753767280961808,IRL,2.1237208385499997
50,Belgium,6.937,1.28566,0.5845,0.2225,0.2254,1.30782,0.8966700000000001,2015,BEL,5.20864635551,BEL,4.11045224686,BEL,14.909187057337196,BEL,1.4564757612600001
51,United Kingdom,6.867000000000001,1.28548,0.59625,0.51912,0.32067,1.26637,0.90943,2015,GBR,4.6562787321700005,GBR,4.12443512467,GBR,7.272896366630384,GBR,1.91436310095
52,Germany,6.75,1.29937,0.6147699999999999,0.28214,0.21843,1.32792,0.89186,2015,DEU,6.566759025580001,DEU,3.94620635053,DEU,9.692091233358722,DEU,1.92717836242
53,France,6.575,1.2603799999999998,0.55011,0.12332,0.20646,1.27778,0.94579,2015,FRA,6.63744454071,FRA,4.29932581248,FRA,12.985378781086636,FRA,1.45786302442
54,Spain,6.329,1.31379,0.45951,0.18227,0.06398,1.23011,0.95562,2015,ESP,5.278340958219999,ESP,3.50685946491,ESP,5.85389317910554,ESP,0.895117114338
55,Malta,6.3020000000000005,1.30203,0.60365,0.51752,0.13585999999999998,1.2074,0.88721,2015,MLT,5.31700474664,MLT,3.34792260744,MLT,4.361657957635819,MLT,1.10921275074
56,Italy,5.948,1.19777,0.26236,0.22823,0.02901,1.25114,0.95446,2015,ITA,5.63036686842,ITA,3.45861832629,ITA,5.14460168245325,ITA,0.465701935145
57,Cyprus,5.689,0.89318,0.40672,0.30638000000000004,0.06146,1.20813,0.92356,2015,CYP,5.30557518828,CYP,3.3020542742299996,CYP,4.699221642196222,CYP,1.11330282498
58,Portugal,5.102,1.13935,0.51469,0.13719,0.01078,1.15991,0.8751899999999999,2015,PRT,5.37912990911,PRT,4.56140292832,PRT,7.778090208764362,PRT,1.2764582972799998
59,Greece,4.857,0.92933,0.07699,0.0,0.013969999999999998,1.15406,0.88213,2015,GRC,5.79851846034,GRC,4.23175902821,GRC,3.66306904733662,GRC,1.1317528757100002
